PR,URL,Title,Content type,Is rendered page,HTTP status code,H1,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://firemaths.info/,Fire Maths,text/html; charset=utf-8,false,200,Fire Maths,"Fire Maths — tools, guides, studies, and resources.",4381,<truncated>,28876,1243072011400316511,0,true
20,https://firemaths.info/lease-buy,Lease vs Buy Calculator | firemaths.info,text/html; charset=utf-8,false,200,Lease vs Buy Calculator,"Compare the true cost of leasing vs. buying a vehicle. Calculate depreciation, interest, tax benefits, and find your break-even point.",685,<truncated>,4077,17288810005442204335,0,true
20,https://firemaths.info/guide-tax-optimization,Tax Optimization Strategies Guide | firemaths.info,text/html; charset=utf-8,false,200,Tax Optimization Strategies Guide,"A comprehensive reference guide and cheat sheet for legal tax reduction strategies including tax-loss harvesting, Roth conversions, HSAs, 529 plans, and.",919,<truncated>,6115,966774938629855503,0,true
20,https://firemaths.info/list-budgeting-apps,Best Free Budgeting Apps: YNAB vs Mint vs Others,text/html; charset=utf-8,false,200,Best Free Budgeting Apps: YNAB vs Mint vs Others,"Compare the best free budgeting apps: YNAB, Mint, PocketGuard, and Goodbudget. Features, privacy, platforms, pros and cons to help you choose the right.",585,<truncated>,4004,33329290886912831,0,true
20,https://firemaths.info/list-credit-cards,Best No-Fee Credit Cards: Top Cashback & Travel Picks,text/html; charset=utf-8,false,200,Best No-Fee Credit Cards: Top Cashback & Travel Picks,"Compare the best no-annual-fee credit cards: Chase Freedom Unlimited, Citi Double Cash, Capital One VentureOne, and more.",931,<truncated>,5932,16383063773012599046,0,true
20,https://firemaths.info/tax-brackets-comparison,Income Tax Brackets by Country 2026 | firemaths.info,text/html; charset=utf-8,false,200,Income Tax Brackets by Country 2026,,444,<truncated>,2965,16241126660322788186,0,true
20,https://firemaths.info/inflation-calculator,Inflation Calculator | Purchasing Power & Historical CPI Data | FireMaths,text/html; charset=utf-8,false,200,Inflation Calculator,Think your money is safe under the mattress? Discover the silent tax eating your savings. Calculate exact purchasing power loss from 1913 to today with our.,542,<truncated>,3264,1709720490421607406,0,true
20,https://firemaths.info/net-worth-calculator,Net Worth Calculator: Track Your Financial Health | FireMaths,text/html; charset=utf-8,false,200,Net Worth Calculator: Track Your Financial Health,Surprising truth about wealth: Your actual net worth might be shockingly different than you think. Discover the one hidden metric that decides when you can.,555,<truncated>,3368,14342705371808386621,0,true
20,https://firemaths.info/fire-calculator,FIRE Calculator — Find Your Financial Independence Number,text/html; charset=utf-8,false,200,FIRE Calculator — Find Your Financial Independence Number,"Calculate your FIRE number (Financial Independence, Retire Early). See your retirement date and required savings based on expenses, savings rate, and returns.",378,<truncated>,2325,17488662701228518714,0,true
20,https://firemaths.info/profit-margin,Profit Margin Calculator | firemaths.info,text/html; charset=utf-8,false,200,Profit Margin Calculator,"Calculate gross, operating, and net profit margins. Easily determine your markup percentage based on revenue and costs.",509,<truncated>,3168,1417944725425492776,0,true
20,https://firemaths.info/rule-of-72,Rule of 72 Calculator | firemaths.info,text/html; charset=utf-8,false,200,Rule of 72 Calculator,"Calculate the doubling time of an investment using the Rule of 72, Rule of 70, Rule of 69.3, and exact formulas.",349,<truncated>,2018,3119891736359595868,0,true
20,https://firemaths.info/savings-goal,Savings Goal Calculator | firemaths.info,text/html; charset=utf-8,false,200,Savings Goal Calculator,"Calculate how long it will take to reach your savings goal with monthly contributions, considering interest and inflation. Visualize your progress.",383,<truncated>,2473,1230125845101822575,0,true
20,https://firemaths.info/retirement-income-calculator,Retirement Income Calculator: How Long Will Your Savings Last?,text/html; charset=utf-8,false,200,Retirement Income Calculator: How Long Will Your Savings Last?,Most retirees underestimate this crucial expense—find out exactly when your portfolio might hit zero. Adjust your withdrawal rate and see the surprising.,455,<truncated>,2901,1759944738614536019,0,true
20,https://firemaths.info/net-worth-tracker,Net Worth Tracker — Calculate Assets and Liabilities,text/html; charset=utf-8,false,200,Net Worth Tracker — Calculate Assets and Liabilities,Calculate your net worth by tracking your assets and liabilities. See your overall financial picture with our interactive net worth calculator.,384,<truncated>,2418,16727538167621484443,0,true
20,https://firemaths.info/withdrawal-calculator,Retirement Withdrawal Calculator — Safe Withdrawal Rates & 4% Rule,text/html; charset=utf-8,false,200,Retirement Withdrawal Calculator — Safe Withdrawal Rates & 4% Rule,"Calculate your safe retirement withdrawal rate using the 4% rule. See how long your portfolio will last with inflation, social security, and investment returns.",445,<truncated>,2890,200428491844764597,0,true
20,https://firemaths.info/net-income,Net Income Calculator | Take-Home Pay | firemaths.info,text/html; charset=utf-8,false,200,Net Income Calculator,"Calculate your take-home pay after taxes. Estimate Federal, State, Social Security, and Medicare taxes for W-2 and 1099 workers.",432,<truncated>,2720,14407986192869096376,0,true
20,https://firemaths.info/cost-of-living-comparison,Cost of Living Comparison Calculator by City | FireMaths,text/html; charset=utf-8,false,200,Cost of Living Comparison Calculator by City,Think a $100k salary means the same everywhere? See exactly how much your paycheck shrinks or grows when you cross city lines and compare real living costs.,355,<truncated>,2233,1718551824445795435,0,true
20,https://firemaths.info/rental-yield-calculator,Rental Yield Calculator | firemaths.info,text/html; charset=utf-8,false,200,Rental Yield Calculator,"Calculate gross yield, net yield, cap rate, and cash-on-cash return for rental properties. Analyze real estate investments with our free interactive tool.",366,<truncated>,2361,17984434634941679656,0,true
20,https://firemaths.info/dividend-calculator,Dividend Reinvestment Calculator | firemaths.info,text/html; charset=utf-8,false,200,Dividend Reinvestment Calculator,"Calculate dividend reinvestment plan (DRIP) growth projections over time based on stock price, dividend yield, and holding period.",360,<truncated>,2427,16391627136180144499,0,true
20,https://firemaths.info/student-loan-calculator,"Student Loan Repayment Calculator: Standard, IBR & PSLF Compared | FireMaths",text/html; charset=utf-8,false,200,"Student Loan Repayment Calculator: Standard, IBR & PSLF Compared",Think paying minimums is safe? See the exact month your student loans could be forgiven—or the hidden cost of waiting.,637,<truncated>,3981,15349258927400852612,0,true
20,https://firemaths.info/expense-ratio,Expense Ratio Calculator | firemaths.info,text/html; charset=utf-8,false,200,Expense Ratio Calculator,Calculate the impact of fund expense ratios on your investment returns over time. Compare the cost of fees between different funds side by side.,413,<truncated>,2464,2129664005795355303,0,true
20,https://firemaths.info/tax-bracket,Tax Bracket Calculator | firemaths.info,text/html; charset=utf-8,false,200,Tax Bracket Calculator,Calculate your effective and marginal tax rates based on 2024 US federal tax brackets. Compare single vs married filing statuses with a detailed breakdown.,368,<truncated>,2268,1985419671155896351,0,true
20,https://firemaths.info/salary-hourly,Salary to Hourly Converter | firemaths.info,text/html; charset=utf-8,false,200,Salary to Hourly Converter,"Convert your annual salary to an hourly wage, or vice versa. Adjust for work hours and paid time off (PTO) to find your real hourly rate.",449,<truncated>,2667,15034259008437530727,0,true
20,https://firemaths.info/credit-card-payoff,Credit Card Payoff Calculator | firemaths.info,text/html; charset=utf-8,false,200,Credit Card Payoff Calculator,"Calculate your credit card payoff timeline. Compare minimum payments, fixed payments, and find the optimal amount to become debt-free faster.",390,<truncated>,2336,16135034197126969987,0,true
20,https://firemaths.info/dca-calculator,Dollar Cost Averaging (DCA) vs Lump Sum Calculator | firemaths.info,text/html; charset=utf-8,false,200,Dollar Cost Averaging (DCA) vs Lump Sum Calculator,"Compare Dollar Cost Averaging (DCA) against Lump Sum investing. Calculate final portfolio value, average cost basis, and see which strategy wins.",466,<truncated>,2911,2378672645914133124,0,true
20,https://firemaths.info/debt-payoff-calculator,Debt Payoff Calculator | firemaths.info,text/html; charset=utf-8,false,200,Debt Payoff Calculator,We ran the math on Debt Snowball vs Avalanche for $50k in balances. The faster payoff strategy isn't what most experts claim. See your exact timeline.,627,<truncated>,3870,15193527648645761648,0,true
20,https://firemaths.info/guide-budgeting,"Budgeting Methods Compared: 50/30/20, Envelope & More",text/html; charset=utf-8,false,200,"Budgeting Methods Compared: 50/30/20, Envelope & More","Compare budgeting methods: 50/30/20, envelope, zero-based, pay yourself first. A comprehensive reference guide and cheat sheet.",600,<truncated>,3812,13885526547017710431,0,true
20,https://firemaths.info/paycheck-calculator,Paycheck Calculator | firemaths.info,text/html; charset=utf-8,false,200,Paycheck Calculator,"Estimate your net paycheck after deductions. Calculate federal tax, state tax, and benefits to find your true take-home pay.",447,<truncated>,2848,732845682505276612,0,true
20,https://firemaths.info/compound-interest-calculator,Compound Interest Calculator | firemaths.info,text/html; charset=utf-8,false,200,Compound Interest Calculator,Calculate compound interest with monthly contributions. Visualize your investment growth over 5-40 years and compare scenarios side by side.,365,<truncated>,2349,1198993460441694773,0,true
20,https://firemaths.info/loan-amortization-calculator,"Loan Amortization Calculator: Schedule, Payoff Date & Interest Breakdown",text/html; charset=utf-8,false,200,"Loan Amortization Calculator: Schedule, Payoff Date & Interest Breakdown",Banks hate when you do the math yourself. See the exact month-by-month breakdown of your debt to find out how much you are really paying and how to escape.,351,<truncated>,2298,17123696748561829852,0,true
20,https://firemaths.info/capital-gains-tax-calculator,Capital Gains Tax Calculator 2024 & 2025 | Fire Maths,text/html; charset=utf-8,false,200,Capital Gains Tax Calculator,Selling an asset? Don't let taxes eat your profits. Discover exactly how much you'll owe with our free Capital Gains Tax Calculator for 2024 and 2025.,1513,<truncated>,9231,3671974233238108244,0,true
20,https://firemaths.info/roi-calculator,ROI & CAGR Calculator | firemaths.info,text/html; charset=utf-8,false,200,ROI & CAGR Calculator,Calculate Return on Investment (ROI) and Compound Annual Growth Rate (CAGR) for multiple investments. Track total return and annualized performance.,385,<truncated>,2310,4164335500124779937,0,true
20,https://firemaths.info/list-brokerages,Best Online Brokerages Compared (2025) | firemaths.info,text/html; charset=utf-8,false,200,Best Online Brokerages Compared (2025),"Compare the best online brokerages for investing, FIRE, and trading. Detailed breakdown of Fidelity, Schwab, Vanguard, IBKR, and Robinhood fees, features,.",546,<truncated>,3704,3503100957385900268,0,true
20,https://firemaths.info/rent-vs-buy-calculator,Rent vs Buy Calculator: The True Cost of Homeownership vs Renting,text/html; charset=utf-8,false,200,Rent vs Buy Calculator: The True Cost of Homeownership vs Renting,Think throwing away money on rent is bad? The shocking truth about unrecoverable homeownership costs might change your mind. Find your break-even point now.,525,<truncated>,3267,17176014428500502014,0,true
20,https://firemaths.info/guide-rule-of-72,The Rule of 72: How Long to Double Your Money at Any Return Rate,text/html; charset=utf-8,false,200,The Rule of 72: How Long to Double Your Money at Any Return Rate,A 15th-century mathematical shortcut reveals exactly when your investments will 2x. Find out why the 7% and 10% rules change everything.,759,<truncated>,4191,16637642502150734389,0,true
20,https://firemaths.info/stock-return,Stock Return Calculator | firemaths.info,text/html; charset=utf-8,false,200,Stock Return Calculator,Calculate your total stock return including dividends. Find out your total return percentage and annualized CAGR based on buy/sell price and holding period.,431,<truncated>,2573,15688121542723207393,0,true
20,https://firemaths.info/rent-vs-buy,Rent vs Buy Calculator | firemaths.info,text/html; charset=utf-8,false,200,Rent vs Buy Calculator,"Compare renting vs buying a home to find the best financial decision. Factor in appreciation, maintenance, and opportunity cost over time.",634,<truncated>,4003,14847613376977946402,0,true
20,https://firemaths.info/guide-index-funds,Index Fund Investing 101 — Complete Guide & Cheat Sheet,text/html; charset=utf-8,false,200,Index Fund Investing 101 — Complete Guide & Cheat Sheet,"A complete guide and reference cheat sheet to index fund investing. Learn about Total Market, S&P 500, International funds, how to choose, and tax-efficient.",947,<truncated>,6068,2627685274681949787,0,true
20,https://firemaths.info/mortgage-calculator,"Mortgage Calculator: Monthly Payment, Amortization & Total Interest | firemaths.info",text/html; charset=utf-8,false,200,"Mortgage Calculator: Monthly Payment, Amortization & Total Interest",Banks hate this one trick. Use our full mortgage payment calculator to see how an extra $100/mo can save you years and thousands in interest.,677,<truncated>,4187,697771556952555530,0,true
20,https://firemaths.info/401k-calculator,401k & RRSP Calculator | firemaths.info,text/html; charset=utf-8,false,200,401k & RRSP Calculator,"Calculate your 401k or RRSP retirement savings growth. Model employer matches, catch-up contributions, and compare Traditional vs. Roth scenarios.",540,<truncated>,3399,4489036474331264646,0,true
20,https://firemaths.info/loan-amortization,Loan Amortization Calculator | firemaths.info,text/html; charset=utf-8,false,200,Loan Amortization Calculator,"Calculate your monthly loan payments, view the full amortization schedule, and see the breakdown of principal and interest over time.",405,<truncated>,2603,2634646668259599795,0,true
20,https://firemaths.info/emergency-fund,Emergency Fund Calculator | firemaths.info,text/html; charset=utf-8,false,200,Emergency Fund Calculator,"Calculate your ideal emergency fund based on your monthly expenses, job stability, and dependents. Plan for 3, 6, or 12 months of runway.",422,<truncated>,2726,1141531975964186666,0,true
20,https://firemaths.info/bond-yield-calculator,"Bond Yield Calculator | Current Yield, YTM & Price Relationship",text/html; charset=utf-8,false,200,Bond Yield Calculator,"Why does a $1,000 bond rarely sell for $1,000? Uncover the true relationship between price and yield to maturity, and see what your fixed-income investments.",430,<truncated>,2613,18172257082279276183,0,true
20,https://firemaths.info/car-lease-vs-buy-calculator,Lease vs Buy Car Calculator: Which Is Actually Cheaper?,text/html; charset=utf-8,false,200,Lease vs Buy Car Calculator: Which Is Actually Cheaper?,"One option drains your net worth 3x faster—and it's not the one you think. Over 5 years, the true cost difference will shock you. See the math.",604,<truncated>,3565,31638592424834453,0,true
20,https://firemaths.info/bond-yield,Bond Yield Calculator | firemaths.info,text/html; charset=utf-8,false,200,Bond Yield Calculator,"Calculate yield to maturity (YTM), current yield, and yield to call (YTC) for bonds with this interactive calculator.",367,<truncated>,2171,17639056202721143917,0,true
20,https://firemaths.info/capital-gains,Capital Gains Tax Calculator | firemaths.info,text/html; charset=utf-8,false,200,Capital Gains Tax Calculator,"Calculate your short-term and long-term capital gains tax on stocks, crypto, and real estate based on 2024 US tax brackets.",438,<truncated>,2619,3469280756999795601,0,true
20,https://firemaths.info/stock-return-calculator,Stock Return Calculator: Total Return with Dividends Reinvested | FireMaths,text/html; charset=utf-8,false,200,Stock Return Calculator: Total Return with Dividends Reinvested,Think you know how much your AAPL stock really made? The true stock return calculator reveals the massive hidden impact of reinvested dividends on total.,342,<truncated>,2247,14486736604709262041,0,true
20,https://firemaths.info/sales-tax,Sales Tax Calculator | firemaths.info,text/html; charset=utf-8,false,200,Sales Tax Calculator,"Easily calculate sales tax for US states and Canadian provinces. Find the exact tax amount and total price with our free, offline-ready calculator.",510,<truncated>,3314,14522214529081162828,0,true
20,https://firemaths.info/present-value,Present Value Calculator | firemaths.info,text/html; charset=utf-8,false,200,Present Value Calculator,"Calculate the present value of future cash flows, including single amounts and annuities, based on your expected discount rate.",262,<truncated>,1591,934199975737185470,0,true
20,https://firemaths.info/break-even,Break-Even Calculator | firemaths.info,text/html; charset=utf-8,false,200,Break-Even Calculator,"Calculate your break-even point in units and revenue. Understand your fixed and variable costs, and visualize your path to profitability with our free.",321,<truncated>,2063,1546062889604014766,0,true
20,https://firemaths.info/savings-goal-calculator,Savings Goal Calculator: How Long Until You Hit Your Target? | firemaths.info,text/html; charset=utf-8,false,200,Savings Goal Calculator: How Long Until You Hit Your Target?,Find out exactly when you'll hit your financial target. Your timeline might be years shorter than you think—discover the math that makes it happen.,410,<truncated>,2569,3637906879747591297,0,true
20,https://firemaths.info/list-savings-accounts,Best High-Yield Savings Accounts (HYSA) - Updated Monthly,text/html; charset=utf-8,false,200,Best High-Yield Savings Accounts (HYSA) - Updated Monthly,"Compare the best High-Yield Savings Accounts (HYSAs): rates, minimums, features, and FDIC insurance. Find the perfect savings account to maximize your interest.",869,<truncated>,5588,15487863938031944755,0,true
20,https://firemaths.info/emergency-fund-calculator,Emergency Fund Calculator: How Much Do You Actually Need?,text/html; charset=utf-8,false,200,Emergency Fund Calculator: How Much Do You Actually Need?,Most people save thousands more than they actually need. Find out exactly how much your lifestyle requires with our emergency fund calculator and stop.,584,<truncated>,3660,16812639150894237673,0,true
20,https://firemaths.info/cap-rates,Real Estate Cap Rates by City 2026 | firemaths.info,text/html; charset=utf-8,false,200,Real Estate Cap Rates by City 2026,Average capitalization rates for rental properties across 50+ US cities. Essential data for real estate investors comparing markets.,434,<truncated>,2770,64860597697018699,0,true
20,https://firemaths.info/guide-fire-basics,FIRE Movement: Complete Beginner's Guide,text/html; charset=utf-8,false,200,FIRE Movement: Complete Beginner,"A comprehensive reference guide and cheat sheet for the FIRE (Financial Independence, Retire Early) movement.",619,<truncated>,4008,17722948914357908866,0,true
20,https://firemaths.info/guide-real-estate,Real Estate Investing for Beginners: Complete Guide,text/html; charset=utf-8,false,200,Real Estate Investing for Beginners: Complete Guide,"A comprehensive reference guide and cheat sheet for real estate investing. Learn about REITs, rental properties, house hacking, and the BRRRR method.",617,<truncated>,3923,3977996567081619913,0,true
20,https://firemaths.info/freelance-rate,Freelance Rate Calculator | firemaths.info,text/html; charset=utf-8,false,200,Freelance Rate Calculator,"Calculate your ideal hourly and project rates as a freelancer. Factor in desired salary, business expenses, taxes, and billable hours.",359,<truncated>,2268,14603732799934735193,0,true
