PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://firemaths.info/,Fire Maths,text/html; charset=utf-8,false,200,"Fire Maths — tools, guides, studies, and resources.",4381,<truncated>,28876,1243072011400316511,0,true
20,https://firemaths.info/guide-tax-optimization,Tax Optimization Strategies Guide | firemaths.info,text/html; charset=utf-8,false,200,"A comprehensive reference guide and cheat sheet for legal tax reduction strategies including tax-loss harvesting, Roth conversions, HSAs, 529 plans, and.",919,<truncated>,6115,966774938629855503,0,true
20,https://firemaths.info/list-budgeting-apps,Best Free Budgeting Apps: YNAB vs Mint vs Others,text/html; charset=utf-8,false,200,"Compare the best free budgeting apps: YNAB, Mint, PocketGuard, and Goodbudget. Features, privacy, platforms, pros and cons to help you choose the right.",585,<truncated>,4004,33329290886912831,0,true
20,https://firemaths.info/list-credit-cards,Best No-Fee Credit Cards: Top Cashback & Travel Picks,text/html; charset=utf-8,false,200,"Compare the best no-annual-fee credit cards: Chase Freedom Unlimited, Citi Double Cash, Capital One VentureOne, and more.",931,<truncated>,5932,16383063773012599046,0,true
20,https://firemaths.info/inflation-calculator,Inflation Calculator | Purchasing Power & Historical CPI Data | FireMaths,text/html; charset=utf-8,false,200,Think your money is safe under the mattress? Discover the silent tax eating your savings. Calculate exact purchasing power loss from 1913 to today with our.,542,<truncated>,3264,1709720490421607406,0,true
20,https://firemaths.info/net-worth-calculator,Net Worth Calculator: Track Your Financial Health | FireMaths,text/html; charset=utf-8,false,200,Surprising truth about wealth: Your actual net worth might be shockingly different than you think. Discover the one hidden metric that decides when you can.,555,<truncated>,3368,14342705371808386621,0,true
20,https://firemaths.info/retirement-income-calculator,Retirement Income Calculator: How Long Will Your Savings Last?,text/html; charset=utf-8,false,200,Most retirees underestimate this crucial expense—find out exactly when your portfolio might hit zero. Adjust your withdrawal rate and see the surprising.,455,<truncated>,2901,1759944738614536019,0,true
20,https://firemaths.info/student-loan-calculator,"Student Loan Repayment Calculator: Standard, IBR & PSLF Compared | FireMaths",text/html; charset=utf-8,false,200,Think paying minimums is safe? See the exact month your student loans could be forgiven—or the hidden cost of waiting.,637,<truncated>,3981,15349258927400852612,0,true
20,https://firemaths.info/loan-amortization-calculator,"Loan Amortization Calculator: Schedule, Payoff Date & Interest Breakdown",text/html; charset=utf-8,false,200,Banks hate when you do the math yourself. See the exact month-by-month breakdown of your debt to find out how much you are really paying and how to escape.,351,<truncated>,2298,17123696748561829852,0,true
20,https://firemaths.info/capital-gains-tax-calculator,Capital Gains Tax Calculator 2024 & 2025 | Fire Maths,text/html; charset=utf-8,false,200,Selling an asset? Don't let taxes eat your profits. Discover exactly how much you'll owe with our free Capital Gains Tax Calculator for 2024 and 2025.,1513,<truncated>,9231,3671974233238108244,0,true
20,https://firemaths.info/guide-safe-withdrawal-rate,The 4% Rule: Safe Withdrawal Rates in Retirement — Does It Still Work?,text/html; charset=utf-8,false,200,"Think the 4% rule guarantees a safe retirement in 2026? We ran the 30-year data on this classic FIRE strategy, and the real success rate might force you to.",894,<truncated>,5629,17318009690551703971,0,true
20,https://firemaths.info/list-brokerages,Best Online Brokerages Compared (2025) | firemaths.info,text/html; charset=utf-8,false,200,"Compare the best online brokerages for investing, FIRE, and trading. Detailed breakdown of Fidelity, Schwab, Vanguard, IBKR, and Robinhood fees, features,.",546,<truncated>,3704,3503100957385900268,0,true
20,https://firemaths.info/roth-vs-traditional-ira-calculator,Roth vs Traditional IRA Calculator: Which Saves You More in Taxes?,text/html; charset=utf-8,false,200,The math behind the Roth vs Traditional IRA choice often shocks people. We analyzed lifetime tax savings—and the winner isn't what you'd expect.,553,<truncated>,3475,85517672964213718,0,true
20,https://firemaths.info/guide-index-funds,Index Fund Investing 101 — Complete Guide & Cheat Sheet,text/html; charset=utf-8,false,200,"A complete guide and reference cheat sheet to index fund investing. Learn about Total Market, S&P 500, International funds, how to choose, and tax-efficient.",947,<truncated>,6068,2627685274681949787,0,true
20,https://firemaths.info/paycheck-budget-calculator,50/30/20 Budget Calculator: How to Split Your Paycheck,text/html; charset=utf-8,false,200,Most people miscalculate their true take-home pay split. See how an unexpected 50/30/20 budget rule adjustment can transform your after-tax paycheck and.,880,<truncated>,5659,349875921487311690,0,true
20,https://firemaths.info/bond-yield-calculator,"Bond Yield Calculator | Current Yield, YTM & Price Relationship",text/html; charset=utf-8,false,200,"Why does a $1,000 bond rarely sell for $1,000? Uncover the true relationship between price and yield to maturity, and see what your fixed-income investments.",430,<truncated>,2613,18172257082279276183,0,true
20,https://firemaths.info/stock-return-calculator,Stock Return Calculator: Total Return with Dividends Reinvested | FireMaths,text/html; charset=utf-8,false,200,Think you know how much your AAPL stock really made? The true stock return calculator reveals the massive hidden impact of reinvested dividends on total.,342,<truncated>,2247,14486736604709262041,0,true
20,https://firemaths.info/break-even,Break-Even Calculator | firemaths.info,text/html; charset=utf-8,false,200,"Calculate your break-even point in units and revenue. Understand your fixed and variable costs, and visualize your path to profitability with our free.",321,<truncated>,2063,1546062889604014766,0,true
20,https://firemaths.info/emergency-fund-calculator,Emergency Fund Calculator: How Much Do You Actually Need?,text/html; charset=utf-8,false,200,Most people save thousands more than they actually need. Find out exactly how much your lifestyle requires with our emergency fund calculator and stop.,584,<truncated>,3660,16812639150894237673,0,true
20,https://firemaths.info/guide-fire-basics,FIRE Movement: Complete Beginner's Guide,text/html; charset=utf-8,false,200,"A comprehensive reference guide and cheat sheet for the FIRE (Financial Independence, Retire Early) movement.",619,<truncated>,4008,17722948914357908866,0,true
