#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
1,cost of equity calculator,us,3,450,0.15,1.38,cost of equity calculator,2026-02-28 10:33:20,"People also ask,AI Overview,Thumbnail,Video preview,Sitelinks",900,600,800,2015-09-13,"Informational,Non-branded,Non-local",English,"812, 1276, 691, 384, 447, 446, 519, 782, 956, 807, 420, 634, 626, 775, 439, 292, 354, 294, 422, 518, 520, 540, 425, 484","539, 721, 525, 318, 303, 282, 311, 435, 474, 458, 297, 334, 367",Finance/Investing/Stocks and Bonds
2,startup equity calculator,us,18,300,1.40,1.69,startup equity calculator,2026-03-04 14:14:56,"Sitelinks,Video preview",500,500,600,2015-09-08,"Informational,Non-branded,Non-local",English,"413, 410, 416, 420, 353, 351, 300, 416, 585, 289, 344, 336, 343, 418, 296, 283, 273, 271, 237, 288, 221, 274, 268, 279","283, 283, 268, 264, 238, 249, 266, 274, 275, 254, 268, 279, 283",Finance/Investing
3,debt to equity ratio calculator,us,7,250,1.10,1.11,debt to equity ratio,2026-02-25 12:51:38,"People also ask,Video preview",500,12000,16000,2015-09-14,"Informational,Non-branded,Non-local",English,"554, 633, 446, 310, 304, 299, 546, 607, 1904, 886, 1015, 446, 364, 368, 253, 241, 239, 201, 266, 190, 178, 200, 220, 258","240, 250, 214, 160, 149, 147, 222, 231, 373, 257, 218, 255, 238",Finance/Financial Planning and Management
4,private equity funds list,us,10,200,2.50,,top private equity firms,2026-03-09 15:58:57,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",450,7200,10000,2016-10-05,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
5,forgivable equity builder loan,us,0,200,2.50,,forgivable equity builder loan,2026-03-07 17:38:24,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks",200,100,100,2022-04-09,"Informational,Branded,Non-local",English,,,Finance/Credit and Lending/Loans; Real Estate
6,gift of equity calculator,us,0,200,1.70,,gift of equity calculator,2026-02-21 15:21:13,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",200,100,100,2017-03-07,"Informational,Non-branded,Non-local",English,"260, 216, 211, 216, 216, 184, 221, 153, 143, 127, 183, 221, 278, 226, 227, 182, 203, 166, 162, 147, 112, 113, 158, 179","209, 191, 162, 155, 158, 154, 157, 143, 134, 125, 160, 181, 211",Finance; Real Estate
7,heloc vs home equity loan calculator,us,9,200,3.50,,heloc calculator,2025-12-30 09:45:33,"AI Overview,Sitelinks,People also ask,Bottom ads,Paid sitelinks",200,700,700,2016-03-03,"Informational,Non-branded,Non-local",English,"133, 161, 134, 111, 212, 203, 480, 278, 120, 116, 142, 117, 177, 171, 122, 124, 223, 271, 183, 190, 188, 156, 163, 153","163, 160, 146, 136, 151, 159, 171, 138, 114, 108, 112, 104, 115",Finance/Credit and Lending/Loans
8,pay off home equity loan early calculator,us,5,150,1.90,,heloc payoff calculator,2026-01-05 19:35:33,People also ask,200,900,900,2016-09-05,"Informational,Non-branded,Non-local",English,"228, 224, 226, 229, 231, 194, 241, 164, 192, 194, 240, 192, 239, 189, 195, 154, 208, 135, 151, 129, 106, 90, 137, 132","133, 119, 118, 120, 125, 117, 126, 122, 114, 106, 142, 138, 139",Finance/Credit and Lending/Loans
9,equity dilution calculator,us,0,150,3.50,2.26,equity dilution calculator,2026-02-27 03:06:31,People also ask,300,150,250,2016-01-14,"Informational,Non-branded,Non-local",English,"169, 203, 247, 244, 141, 177, 101, 150, 159, 142, 177, 146, 152, 143, 146, 127, 129, 128, 130, 127, 126, 113, 117, 122","122, 123, 122, 126, 110, 121, 113, 134, 125, 113, 117, 122, 122",Finance/Financial Planning and Management/Asset and Portfolio Management
10,equity curve simulator,us,0,150,3.00,,equity curve simulator,2026-03-07 15:40:02,Sitelinks,1600,20,150,2017-01-12,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Brokerages and Day Trading
11,equity line credit calculator,us,16,150,2.50,,heloc calculator,2026-01-02 18:21:34,"Sitelinks,People also ask",150,79000,81000,2021-02-26,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
12,private equity dashboard,us,0,150,6.00,,private equity dashboard,2026-02-01 00:59:18,"AI Overview,Thumbnail,Sitelinks",350,90,100,2020-01-14,"Informational,Non-branded,Non-local",English,,,Finance/Investing
13,private equity hospital tracker,us,5,150,,,private equity hospitals,2025-12-26 04:23:03,"Sitelinks,People also ask",150,250,250,2023-08-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing; Health/Medical Facilities and Services/Hospitals and Treatment Centers
14,home equity loan estimator,us,17,150,2.50,,home equity loan calculator,2025-12-25 11:20:15,"Sitelinks,People also ask",200,26000,27000,2018-10-12,"Informational,Commercial,Non-branded,Non-local",English,"109, 129, 141, 210, 618, 94, 90, 87, 70, 72, 105, 109, 157, 114, 117, 128, 145, 159, 141, 131, 97, 100, 116, 113","122, 118, 118, 124, 169, 110, 113, 111, 105, 96, 107, 105, 114",Finance/Credit and Lending/Loans
15,startup equity dilution calculator,us,1,150,1.40,,equity dilution calculator,2026-02-27 00:47:01,,250,300,350,2016-07-11,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
16,equity house calculator,us,10,150,2.50,,home equity calculator,2025-12-25 08:01:50,"AI Overview,Sitelinks,People also ask",250,16000,16000,2016-06-03,"Informational,Non-branded,Non-local",English,"148, 148, 139, 133, 117, 106, 91, 102, 101, 97, 110, 88, 155, 142, 162, 105, 129, 127, 111, 125, 97, 117, 121, 120","130, 127, 128, 123, 122, 115, 110, 114, 110, 114, 121, 120, 130",Finance/Financial Planning and Management
17,list of healthcare private equity firms,us,4,150,7.00,,healthcare private equity,2026-01-04 18:15:01,"AI Overview,Thumbnail,Sitelinks,People also ask",200,1100,1100,2015-09-01,"Informational,Non-branded,Non-local",English,"188, 222, 227, 156, 156, 132, 139, 262, 147, 156, 194, 121, 151, 164, 171, 115, 151, 123, 151, 155, 107, 88, 67, 54","61, 57, 51, 71, 0, 76, 56, 78, 56, 59, 50, 39, 44",Finance/Investing; Health
18,calculator equity,us,10,150,1.40,,home equity calculator,2025-12-25 13:17:26,"Sitelinks,People also ask",350,16000,16000,2020-01-11,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
19,private equity etf list,us,6,150,2.00,,private equity etf,2026-01-08 04:32:27,"AI Overview,Thumbnail,People also ask,Sitelinks",200,1000,1200,2016-01-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
20,cash out refinance vs home equity loan calculator,us,0,150,3.00,,home equity loan vs cash-out refinance calculator,2026-03-16 20:06:53,"Sitelinks,People also ask",150,350,350,2017-01-28,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
21,co founder equity calculator,us,3,150,,,equity split calculator,2026-01-23 08:41:13,"Sitelinks,People also ask",200,450,600,2016-04-20,"Informational,Non-branded,Non-local",English,,,Business and Industrial/Business Finance/Venture Capital; Business and Industrial/Business Operations/Business Plans and Presentations
22,home equity line of credit rates calculator,us,15,150,2.00,,heloc calculator,2025-12-25 00:00:57,"Sitelinks,People also ask",150,70000,72000,2016-08-11,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
23,equity split calculator,us,17,100,0.60,1.96,startup equity calculator,2026-03-15 06:56:14,People also ask,150,150,200,2015-09-23,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
24,private equity ranking,us,9,100,1.90,,top private equity firms,2025-12-31 16:28:33,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",300,5500,5900,2016-06-01,"Informational,Non-branded,Non-local",English,,,Finance/Investing
25,list of middle market private equity firms,us,13,100,3.00,,middle market pe firms,2026-01-01 12:16:33,Sitelinks,100,450,500,2016-07-26,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
26,private equity investment process flow chart,us,6,100,6.00,,private equity deal flow,2026-02-03 20:56:48,Sitelinks,300,450,600,2017-11-23,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
27,home equity conversion mortgage calculator,us,7,100,2.00,,reverse mortgage calculator without personal information,2026-03-20 02:06:16,"People also ask,Sitelinks",150,4000,4100,2015-09-14,"Informational,Branded,Non-local",English,,,Finance/Credit and Lending
28,equity release calculator uk,us,5,100,0.80,,aviva equity release calculator,2026-01-01 23:41:41,"People also ask,Sitelinks",1500,150,4800,2019-08-08,"Informational,Commercial,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
29,home equity monthly payment calculator,us,17,100,2.50,,home equity loan calculator,2025-12-31 12:57:01,"Sitelinks,People also ask",100,34000,34000,2017-05-11,"Informational,Non-branded,Non-local",English,"99, 82, 126, 103, 127, 124, 100, 125, 69, 65, 84, 80, 124, 145, 120, 121, 188, 114, 85, 44, 35, 47, 61, 58","61, 58, 70, 63, 69, 63, 52, 51, 75, 77, 60, 57, 60",Finance/Credit and Lending/Loans
30,lease equity calculator,us,12,100,0.90,,car equity calculator,2025-12-11 09:52:11,"People also ask,Sitelinks",150,100,100,2015-12-16,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
31,founders equity calculator,us,14,90,0.90,,equity calculator,2026-03-12 04:50:37,,150,600,600,2015-09-05,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
32,middle market private equity firms list,us,15,90,3.00,,top private equity firms,2026-03-10 16:59:37,"AI Overview,Thumbnail,Sitelinks",100,4800,5200,2015-09-17,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
33,mr cooper home equity loan calculator,us,17,90,2.50,,mr cooper heloc rates,2026-01-07 20:22:18,"People also ask,Sitelinks",90,600,600,2019-03-16,"Informational,Commercial,Branded,Non-local",English,,,Finance/Credit and Lending/Loans
34,brand equity tracker,us,2,90,9.00,,brand measurement,2025-12-31 09:21:49,"AI Overview,Thumbnail,People also ask",200,100,100,2020-02-09,"Informational,Non-branded,Non-local",English,,,Business and Industrial/Advertising and Marketing/Brand Management
35,negative equity auto loan calculator,us,16,90,0.80,,negative equity calculator,2026-01-16 06:57:44,"People also ask,Sitelinks",100,1300,1400,2016-08-07,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
36,home equity loan interest rate calculator,us,16,90,2.00,,home equity loan calculator,2026-01-02 06:14:24,"Sitelinks,AI Overview,People also ask",100,29000,30000,2018-03-14,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
37,private equity real estate funds list,us,19,90,4.50,,private equity real estate funds list,2026-01-05 02:27:17,People also ask,150,70,70,2016-01-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds; Real Estate
38,equity calculator startup,us,19,90,1.80,1.94,startup equity calculator,2026-02-25 02:33:02,Sitelinks,150,450,500,2015-09-08,"Informational,Non-branded,Non-local",English,"126, 132, 130, 128, 111, 106, 90, 129, 179, 92, 106, 109, 110, 128, 92, 85, 89, 98, 79, 100, 74, 80, 82, 87","89, 98, 91, 90, 82, 81, 82, 84, 89, 80, 82, 87, 89",Finance/Financial Planning and Management
39,private equity fund of funds list,us,6,90,3.00,,private equity fund of funds list,2025-12-28 01:06:04,"AI Overview,Thumbnail,People also ask,Sitelinks",200,20,20,2015-09-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
40,internal equity pay comparison is,us,0,80,2.00,,internal equity,2025-12-26 08:25:55,"AI Overview,Thumbnail,Sitelinks,People also ask",90,300,450,2017-07-21,"Informational,Non-branded,Non-local",English,,,Business and Industrial/Business Operations/Human Resources
41,home equity rate calculator,us,16,80,2.50,,heloc calculator,2025-12-28 12:55:34,"Sitelinks,People also ask,Video preview",100,78000,80000,2015-11-07,"Informational,Commercial,Non-branded,Non-local",English,"50, 52, 53, 45, 50, 40, 40, 47, 1718, 1184, 345, 75, 77, 66, 106, 84, 105, 76, 82, 72, 76, 47, 95, 80",54,Finance/Credit and Lending/Loans
42,private equity firm list,us,14,80,0.00,,largest private equity firms,2026-03-12 14:35:14,AI Overview,100,7200,11000,2016-04-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing
43,home equity line of credit interest calculator,us,12,80,1.00,,heloc payment calculator,2026-01-07 13:38:47,Sitelinks,100,10000,10000,2016-11-21,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
44,equity release calculator no personal details,us,3,80,1.50,,equity release calculator no personal details,2026-01-07 22:16:42,Sitelinks,1000,200,600,2020-01-11,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
45,how much equity in my home calculator,us,14,80,1.70,,home equity calculator,2025-12-26 15:00:22,"Sitelinks,AI Overview,People also ask,Bottom ads,Paid sitelinks",200,16000,16000,2016-08-17,"Informational,Non-branded,Non-local",English,,,Finance; Real Estate
46,equity risk premium chart,us,8,80,2.50,,equity risk premium chart,2025-12-29 09:55:02,"AI Overview,Thumbnail,Sitelinks,People also ask",150,100,150,2016-06-01,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
47,equity value calculator,us,15,80,1.40,,equity value formula,2026-02-18 08:22:28,"Sitelinks,AI Overview,People also ask",100,600,1100,2016-03-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
48,startup equity valuation calculator,us,10,80,1.70,,equity calculator startup,2026-03-16 04:54:30,People also ask,100,300,300,2020-03-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing
49,equity release repayment calculator,us,14,70,,,equity release repayment calculator,2026-01-05 16:28:56,"Sitelinks,People also ask",1000,350,1000,2020-01-09,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
50,va home equity loan calculator,us,11,70,3.50,,va loan calculator,2025-12-29 02:26:43,"People also ask,Sitelinks",80,21000,21000,2016-04-27,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
51,private equity aum ranking,us,20,70,2.00,,top 100 private equity firms by aum,2026-03-12 13:35:41,"AI Overview,Sitelinks,People also ask",100,400,600,2015-11-02,"Informational,Non-branded,Non-local",English,,,Finance/Investing
52,land equity calculator,us,12,70,1.00,,land loan calculator,2025-12-31 23:56:27,"People also ask,Sitelinks",100,12000,12000,2016-09-13,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
53,pay equity calculator,us,4,70,2.50,,pay equity calculator,2026-03-16 15:26:48,People also ask,80,50,50,2020-01-10,"Informational,Non-branded,Non-local",English,,,Finance
54,line of credit home equity calculator,us,16,70,0.00,,heloc calculator,2025-11-29 23:42:29,"Sitelinks,People also ask",90,91000,93000,2016-05-09,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
55,future home equity calculator,us,3,70,1.30,,home equity calculator,2026-03-02 13:43:52,"Sitelinks,People also ask,Bottom ads,Paid sitelinks",90,1900,2000,2016-05-21,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management; Real Estate
56,lease calculator with negative equity,us,15,70,,,car lease calculator,2025-12-27 11:47:05,"Sitelinks,People also ask",70,1700,2000,2016-04-17,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending
57,usaa home equity loan calculator,us,11,70,4.50,,mortgage quote,2025-11-30 03:40:06,"People also ask,Sitelinks",70,7500,7700,2016-10-14,"Informational,Navigational,Branded,Non-local",English,,,Finance/Credit and Lending/Loans
58,equity release calculator cost,us,10,70,,,heloc calculator,2025-11-28 21:33:55,"Sitelinks,People also ask",300,91000,93000,2020-01-11,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
59,how much equity do i have in my home calculator,us,13,70,2.50,,home equity calculator,2025-12-26 08:29:35,"Sitelinks,AI Overview,People also ask",80,16000,16000,2017-04-13,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management; Real Estate
60,founder equity calculator,us,15,70,2.00,,startup equity calculator,2026-03-20 11:29:21,,150,500,600,2015-11-05,"Informational,Non-branded,Non-local",English,"85, 85, 71, 68, 68, 69, 71, 73, 67, 52, 124, 69, 69, 125, 68, 51, 54, 80, 61, 54, 44, 56, 68, 60","68, 70, 55, 59, 83, 80, 79, 64, 58, 54, 66, 58, 65",Finance/Financial Planning and Management
61,equity release drawdown calculator,us,1,70,,,equity release drawdown calculator,2025-12-30 21:57:44,"People also ask,Sitelinks",350,30,250,2020-02-14,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
62,home equity loan calculator monthly payments,us,18,70,0.00,,heloc calculator,2026-01-05 19:33:28,"Top ads,Sitelinks,People also ask,Bottom ads,Paid sitelinks",90,82000,83000,2020-03-17,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
63,health equity dashboard,us,2,70,3.50,,health equity dashboard,2026-02-19 11:03:57,,80,20,20,2020-06-23,"Informational,Non-branded,Non-local",English,,,Health/Public Health/Health Policy
64,list of small private equity firms,us,4,60,4.50,,small private equity firms,2026-01-04 08:41:48,"People also ask,Sitelinks",70,50,50,2016-07-14,"Informational,Commercial,Non-branded,Non-local",English,,,Finance/Investing/Funds
65,positive equity car calculator,us,16,60,0.70,,ltv calculator,2026-01-01 04:44:28,"People also ask,Sitelinks",80,1600,1700,2020-02-21,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
66,home equity loan calculator uk,us,4,60,,,home equity loan calculator uk,2026-01-02 06:45:48,"People also ask,Sitelinks",450,200,8000,2020-01-15,"Informational,Commercial,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
67,list of growth equity firms,us,1,60,4.00,,growth equity firms,2026-01-06 01:06:32,Sitelinks,80,400,400,2017-06-01,"Informational,Non-branded,Non-local",English,,,Finance/Investing
68,mortgage calculator equity loan,us,17,60,2.00,,home equity loan calculator,2026-01-02 20:54:40,"People also ask,Sitelinks",80,29000,30000,2017-09-17,"Informational,Commercial,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
69,calhfa forgivable equity builder loan,us,2,60,2.50,,forgivable equity builder loan,2025-12-28 05:17:46,"People also ask,Video preview",60,300,300,2022-04-09,"Informational,Branded,Non-local",English,,,Finance/Credit and Lending/Loans; Real Estate
70,equity research ranking,us,0,60,4.00,,institutional investor rankings,2026-03-16 23:12:02,"Sitelinks,People also ask",70,60,60,2015-10-07,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
71,cofounder equity calculator,us,16,60,,,equity split calculator,2026-02-05 06:00:00,,70,500,600,2017-05-22,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
72,home equity divorce calculator,us,1,60,1.50,,divorce buyout calculator,2026-03-15 16:21:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Video preview",70,800,800,2022-06-23,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
73,debt equity ratio calculator,us,3,60,1.10,1.48,debt to equity ratio calculator,2025-12-26 03:22:31,"People also ask,Sitelinks",150,1500,6200,2015-09-03,"Informational,Non-branded,Non-local",English,"118, 139, 96, 68, 66, 63, 127, 130, 418, 190, 225, 96, 76, 76, 52, 54, 50, 38, 55, 40, 35, 39, 71, 78","68, 64, 52, 39, 35, 34, 62, 66, 92, 63, 64, 70, 62",Finance/Financial Planning and Management
74,free equity release calculator,us,8,60,,,equity release repayment calculator,2025-12-27 19:42:27,"People also ask,Sitelinks",450,450,900,2020-01-15,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
75,what is my home equity calculator,us,11,50,3.00,,home equity calculator,2025-12-27 03:25:47,"Sitelinks,AI Overview,People also ask",60,16000,16000,2020-01-10,"Informational,Non-branded,Non-local",English,,,Finance/Insurance; Real Estate
76,sweat equity calculator,us,2,50,1.40,,sweat equity,2026-01-04 10:47:28,"Sitelinks,Thumbnail,People also ask",90,150,350,2016-01-31,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
77,bridge builder intl equity,us,0,50,,,bridge builder intl equity,2026-02-01 05:44:11,People also ask,50,10,10,2017-05-05,"Informational,Branded,Non-local",English,,,Finance/Investing/Funds
78,co founder equity split calculator,us,3,50,0.60,,equity split calculator,2026-02-25 09:26:15,,100,500,600,2017-11-02,"Informational,Non-branded,Non-local",English,,,Business and Industrial/Business Finance/Venture Capital; Business and Industrial/Business Operations/Business Plans and Presentations; Finance/Financial Planning and Management
79,home equity loan vs line of credit calculator,us,6,50,,,heloc calculator,2025-12-21 14:48:39,"AI Overview,Thumbnail,Sitelinks,People also ask",60,500,500,2020-11-26,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
80,equity dashboard,us,1,50,3.00,,equity dashboard,2026-01-23 02:23:01,People also ask,90,20,20,2017-01-26,"Informational,Non-branded,Non-local",English,,,Reference/General Reference/Public Records
81,equity startup calculator,us,8,50,3.50,,startup equity calculator,2026-02-25 13:12:17,,80,450,500,2015-11-13,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
82,list of assets liabilities and equity,us,11,50,,,chart of accounts,2026-01-04 21:00:29,"AI Overview,Thumbnail,People also ask",100,2100,4600,2015-09-18,"Informational,Non-branded,Non-local",English,,,Finance/Accounting and Auditing/Bookkeeping
83,texas home equity loan calculator,us,20,50,3.00,,home equity loan calculator,2025-11-26 10:44:34,"AI Overview,Thumbnail,Sitelinks,People also ask",70,112000,114000,2016-12-06,"Informational,Non-branded,Local",English,,,Finance/Credit and Lending/Loans
84,equity release interest calculator,us,5,50,,,heloc calculator,2025-12-30 21:02:49,"Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads",500,78000,80000,2020-01-16,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
85,private equity fund list,us,18,50,3.00,,private equity list,2026-01-02 08:33:33,"AI Overview,Thumbnail,Sitelinks,People also ask",90,350,400,2016-01-25,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
86,company equity calculator,us,9,50,1.50,,startup equity calculator,2026-02-01 09:13:02,"People also ask,Sitelinks",70,450,500,2016-03-21,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Asset and Portfolio Management
87,business equity calculator,us,17,50,1.10,1.79,business equity calculator,2026-03-19 01:53:47,"People also ask,Sitelinks",90,40,90,2015-09-23,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management
88,chicago private equity firms list,us,7,50,,,chicago private equity firms,2025-12-31 09:04:39,Sitelinks,50,450,450,2020-02-29,"Informational,Non-branded,Local",English,,,Finance/Investing/Funds
89,list of real estate private equity firms,us,8,50,4.00,,real estate private equity firms,2025-12-27 05:41:19,"Sitelinks,People also ask",80,1700,1900,2016-01-05,"Informational,Non-branded,Non-local",English,,,Business and Industrial/Business Finance/Venture Capital; Real Estate
90,carta equity calculator,us,2,50,4.00,,startup equity calculator,2026-02-24 16:39:32,,60,500,600,2020-01-17,"Informational,Branded,Non-local",English,,,Finance/Financial Planning and Management/Asset and Portfolio Management
91,debt to equity calculator,us,4,50,1.10,1.02,debt to equity ratio,2026-03-10 12:16:50,People also ask,100,15000,19000,2015-09-22,"Informational,Non-branded,Non-local",English,"106, 122, 91, 64, 65, 65, 108, 120, 377, 175, 201, 88, 69, 69, 50, 49, 51, 41, 56, 38, 40, 46, 42, 51","42, 45, 37, 32, 31, 35, 47, 46, 70, 50, 41, 51, 42",Finance/Financial Planning and Management
92,cost of equity capital calculator,us,0,50,2.00,1.18,cost of equity calculator,2025-11-28 12:46:01,"Sitelinks,People also ask",60,700,900,2015-11-19,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
93,home equity interest calculator,us,17,50,1.30,,loan payment calculator,2025-11-27 17:40:24,"Sitelinks,People also ask",60,158000,171000,2016-07-30,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
94,equity car calculator,us,17,50,0.50,,auto loan calculator,2025-11-28 14:34:38,"AI Overview,Thumbnail,People also ask,Sitelinks",60,55000,56000,2020-12-03,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
95,401k loan vs home equity loan calculator,us,19,40,2.00,,home equity loan vs 401k loan,2025-12-27 05:12:17,"Sitelinks,People also ask",40,350,350,2016-06-25,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
96,house equity release calculator,us,11,40,,,equity release calculator,2025-12-01 05:06:02,"Sitelinks,People also ask",150,500,6100,2020-01-12,"Informational,Non-branded,Non-local",English,,,Finance/Financial Planning and Management/Retirement and Pension
97,20000 home equity loan calculator,us,18,40,,,heloc calculator,2026-01-05 00:47:53,"People also ask,Sitelinks",40,82000,83000,2016-01-20,"Informational,Non-branded,Non-local",English,,,Finance/Credit and Lending/Loans
